FILE_GROUP_TITLE	CONTENT_TYPE	ITEM_ARK	FILE_USE	SEQ	FILE_SIZE	CREATE_DATE	FILE_LOCATION	FILE_NAME
Text Interview History	Text	21198/zz0008z933	Submaster	2	3266	2010-06-09 09:40:37	database	21198-zz0008z933-2-submaster.xml
Text Transcript	Text	21198/zz0008z933	Master	3	315329	2010-06-09 09:42:19	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z933-3-master.xml	21198-zz0008z933-3-master.xml
Text Transcript	Text	21198/zz0008z933	Submaster	3	315329	2010-06-09 09:42:19	database	21198-zz0008z933-3-submaster.xml
Text Transcript	Text	21198/zz0008z933	Master	4	407592	2010-06-09 09:42:31	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z933-4-master.html	21198-zz0008z933-4-master.html
Text Transcript	Text	21198/zz0008z933	Submaster	4	407592	2010-06-09 09:42:31	database	21198-zz0008z933-4-submaster.html
PDF	PDF	21198/zz0008z933	Master	5	569736	2015-11-13 10:57:09	https://static.library.ucla.edu/oralhistory/pdf/masters/21198-zz0008z933-5-master.pdf	21198-zz0008z933-5-master.pdf
PDF	PDF	21198/zz0008z933	Submaster	5	569736	2015-11-13 10:57:09	database	21198-zz0008z933-5-submaster.pdf
Text Biography	Text	21198/zz0008z954	Master	1	9583	2011-08-17 11:00:55	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z954-1-master.xml	21198-zz0008z954-1-master.xml
Text Biography	Text	21198/zz0008z954	Submaster	1	9583	2011-08-17 11:00:55	database	21198-zz0008z954-1-submaster.xml
Text Interview History	Text	21198/zz0008z954	Submaster	2	3594	2011-08-17 11:03:31	database	21198-zz0008z954-2-submaster.xml
Text Interview History	Text	21198/zz0008z954	Master	2	3594	2011-08-17 11:03:31	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z954-2-master.xml	21198-zz0008z954-2-master.xml
Text Transcript	Text	21198/zz0008z954	Master	3	448911	2011-08-17 11:03:44	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z954-3-master.xml	21198-zz0008z954-3-master.xml
Text Transcript	Text	21198/zz0008z954	Submaster	3	448911	2011-08-17 11:03:44	database	21198-zz0008z954-3-submaster.xml
Text Transcript	Text	21198/zz0008z954	Submaster	4	560480	2011-08-17 11:03:52	database	21198-zz0008z954-4-submaster.html
Text Transcript	Text	21198/zz0008z954	Master	4	560480	2011-08-17 11:03:52	https://static.library.ucla.edu/oralhistory/text/masters/21198-zz0008z954-4-master.html	21198-zz0008z954-4-master.html
